No;Nama Tempat Wisata;Nama Lain Tempat Wisata;Kategori
97;Surabaya Night Carnival;SCNM,Surabaya Night Market,Suroboyo Carnival Park;Tempat Singgah
98;Surabaya North Quay;;Alam
99;Surabaya Patata;;Kuliner
100;Tahu Campur Kalasan;Tahu Campur H ABD Mahfud Asli Kalasan;Kuliner
101;Tahu Telor Pak Jayen;;Kuliner
102;Taman Apsari;;Tempat Singgah, Alam, Taman Kota
103;Taman Balai Kota Surabaya;;Tempat Singgah, Alam, Taman Kota
104;Taman Bungkul;;Tempat Singgah, Alam, Taman Kota
105;Taman Cahaya;;Tempat Singgah, Alam, Taman Kota
106;Taman Eks Incinerator;;Tempat Singgah, Alam
107;Taman Kodam 5 Surabaya;;Tempat Singgah, Alam, Kuliner
108;Taman Korea;;Tempat Singgah, Alam
109;Taman Kunang-Kunang;;Tempat Singgah, Alam
110;Taman Makam Pahlawan Kusuma Bangsa;;Wisata Sejarah
111;Taman Makam Pahlawan Sepuluh Nopember;Taman Makam Pahlawan Mayjend Sungkono;Wisata Sejarah
112;Taman Mangrove Wonorejo;Ekowisata Mangrove Wonorejo;Tempat Singgah, Alam, Taman Kota
113;Taman Mundu Sepuluh Nopember;;Tempat Singgah, Alam, Taman Kota
114;Taman Pelangi;;Tempat Singgah, Alam, Taman Kota
115;Taman Persahabatan;;Tempat Singgah, Alam, Taman Kota
116;Taman Prestasi;;Tempat Singgah, Alam, Taman Kota
117;Taman Skate dan BMX;Skate & BMX;Tempat Singgah, Alam, Taman Kota
118;Tandon Air Wonokitri;;Wisata Horor
119;The Harvest Chocolate and Patisierre;The Harvest Patissier & Chocolatier;Kuliner
120;Tugu Pahlawan;;Wisata Sejarah
121;Tunjungan Plaza;TP,Plasa Tunjungan;Mall, Pusat perbelanjaan, Kuliner
122;Wisata Perahu Kalimas;;Tempat Singgah, Alam
